line,compound_values
Do a little spring cleanin',0.0
I'm always too busy dreamin',0.0
"Well, maybe I should wake up instead",0.2732
"A lot of things I regret, but I just say I forget",-0.5023
Why can't it just be easy?,0.4404
Why does everybody need me to stay?,0.0
"Oh, I hate the feelin'",-0.5719
"When you're high, but you're underneath the ceilin'",0.0
"Got the cards in my hand, I hate dealin', yeah",0.1779
"Get everything I need, then I'm gone, but it ain't stealin'",0.0
Can I get a break?,0.0
I wish that I could just get out my goddamn way,-0.1027
What is there to say?,0.0
There ain't a better time than today,-0.3412
"Well, maybe I'll lay down for a little, yeah",0.4601
Instead of always tryin' to figure everything out,0.0
And all I do is say sorry,-0.0772
Half the time I don't even know what I'm sayin' it about,0.0
"Good news, good news, good news",0.8271
That's all they wanna hear,0.0
"No, they don't like it when I'm down",-0.5122
"But when I'm flyin', oh",0.0
It make 'em so uncomfortable,-0.5214
"So different, what's the difference?",0.0
When it ain't that bad,0.431
It could always be worse,-0.4767
"I'm runnin' out of gas, hardly anything left",0.0
Hope I make it home from work,0.4404
"Well, so tired of bein' so tired",-0.647
Why I gotta build somethin' beautiful just to go set it on fire?,0.3612
"I'm no liar, but",-0.4118
Sometimes the truth don't sound like the truth,0.3591
Maybe 'cause it ain't,0.0
"I just love the way it sound when I say it, yeah",0.7506
It's what I do,0.0
"If you know me, it ain't anything new",0.0
"Wake up to the moon, haven't seen the sun in a while",0.0
"But I heard that the sky's still blue, yeah",0.4215
I heard they don't talk about me too much no more,-0.296
And that's the problem with a closed door,-0.4019
"Good news, good news, good news",0.8271
That's all they wanna hear,0.0
"No, they don't like it when I'm down",-0.5122
"But when I'm flyin', oh",0.0
It make 'em so uncomfortable,-0.5214
"So different, what's the difference?",0.0
There's a whole lot more for me waitin' on the other side,0.0
I'm always wonderin' if it feel like summer,0.3612
"I know maybe I'm too late, I could make it there some other time",0.0
I'll finally discover,0.0
That there's a whole lot more for me waitin',0.0
That there's a whole lot more for me waitin',0.0
"I know maybe I'm too late, I could make it there some other time",0.0
Then I'll finally discover,0.0
"That it ain't that bad, ain't so bad",0.6908
"Well, it ain't that bad, mm",0.6059
At least it don't gotta be no more,0.2235
